tag,context,y,x,mac_q,mac_sc_q,time
after_local_cswitch,0,21,0,0,63598,3329640 ns
after_local_cswitch,0,0,5,0,8142,3329640 ns
after_local_cswitch,0,1,4,0,-52756,3329640 ns
after_local_cswitch,0,2,3,0,32619,3329640 ns
after_local_cswitch,0,3,2,0,24831,3329640 ns
after_local_cswitch,0,4,1,0,13432,3329640 ns
after_local_cswitch,0,5,0,0,92481,3329640 ns
after_local_cswitch,0,16,5,0,8142,3329640 ns
after_local_cswitch,0,17,4,0,-148947,3329640 ns
after_local_cswitch,0,18,3,0,81571,3329640 ns
after_local_cswitch,0,19,2,0,-111260,3329640 ns
after_local_cswitch,0,20,1,0,25270,3329640 ns
after_local_cswitch,0,21,0,0,63598,3329640 ns
after_local_cswitch,0,0,5,0,8142,3329640 ns
after_local_cswitch,0,1,4,0,-52756,3329640 ns
after_local_cswitch,0,2,3,0,32619,3329640 ns
after_local_cswitch,0,3,2,0,24831,3329640 ns
after_local_cswitch,0,4,1,0,13432,3329640 ns
after_local_cswitch,0,5,0,0,92481,3329640 ns
after_local_cswitch,0,16,5,0,8142,3329640 ns
after_local_cswitch,0,17,4,0,-148947,3329640 ns
after_local_cswitch,0,18,3,0,81571,3329640 ns
after_local_cswitch,0,19,2,0,-111260,3329640 ns
after_local_cswitch,0,20,1,0,25270,3329640 ns
after_local_cswitch,0,21,0,0,63598,3329640 ns
after_local_cswitch,0,0,6,0,65158,3329650 ns
after_local_cswitch,0,1,5,0,6625,3329650 ns
after_local_cswitch,0,2,4,0,-55061,3329650 ns
after_local_cswitch,0,3,3,0,-65904,3329650 ns
after_local_cswitch,0,4,2,0,39770,3329650 ns
after_local_cswitch,0,5,1,0,-55433,3329650 ns
after_local_cswitch,0,6,0,0,3802,3329650 ns
after_local_cswitch,0,16,6,0,65158,3329650 ns
after_local_cswitch,0,17,5,0,8142,3329650 ns
after_local_cswitch,0,18,4,0,-148947,3329650 ns
after_local_cswitch,0,19,3,0,81571,3329650 ns
after_local_cswitch,0,20,2,0,-111260,3329650 ns
after_local_cswitch,0,21,1,0,25270,3329650 ns
after_local_cswitch,0,22,0,0,63598,3329650 ns
after_local_cswitch,0,0,6,0,65158,3329650 ns
after_local_cswitch,0,1,5,0,6625,3329650 ns
after_local_cswitch,0,2,4,0,-55061,3329650 ns
after_local_cswitch,0,3,3,0,-65904,3329650 ns
after_local_cswitch,0,4,2,0,39770,3329650 ns
after_local_cswitch,0,5,1,0,-55433,3329650 ns
after_local_cswitch,0,6,0,0,3802,3329650 ns
after_local_cswitch,0,16,6,0,65158,3329650 ns
after_local_cswitch,0,17,5,0,8142,3329650 ns
after_local_cswitch,0,18,4,0,-148947,3329650 ns
after_local_cswitch,0,19,3,0,81571,3329650 ns
after_local_cswitch,0,20,2,0,-111260,3329650 ns
after_local_cswitch,0,21,1,0,25270,3329650 ns
after_local_cswitch,0,22,0,0,63598,3329650 ns
after_local_cswitch,0,0,6,0,65158,3329650 ns
after_local_cswitch,0,1,5,0,6625,3329650 ns
after_local_cswitch,0,2,4,0,-55061,3329650 ns
after_local_cswitch,0,3,3,0,-65904,3329650 ns
after_local_cswitch,0,4,2,0,39770,3329650 ns
after_local_cswitch,0,5,1,0,-55433,3329650 ns
after_local_cswitch,0,6,0,0,3802,3329650 ns
after_local_cswitch,0,16,6,0,65158,3329650 ns
after_local_cswitch,0,17,5,0,8142,3329650 ns
after_local_cswitch,0,18,4,0,-148947,3329650 ns
after_local_cswitch,0,19,3,0,81571,3329650 ns
after_local_cswitch,0,20,2,0,-111260,3329650 ns
after_local_cswitch,0,21,1,0,25270,3329650 ns
after_local_cswitch,0,22,0,0,63598,3329650 ns
after_local_cswitch,0,0,7,0,-57626,3329660 ns
after_local_cswitch,0,1,6,0,-64622,3329660 ns
after_local_cswitch,0,2,5,0,-100242,3329660 ns
after_local_cswitch,0,3,4,0,1890,3329660 ns
after_local_cswitch,0,4,3,0,-51811,3329660 ns
after_local_cswitch,0,5,2,0,-22996,3329660 ns
after_local_cswitch,0,6,1,0,27086,3329660 ns
after_local_cswitch,0,7,0,0,65394,3329660 ns
after_local_cswitch,0,16,7,0,-57626,3329660 ns
after_local_cswitch,0,17,6,0,65158,3329660 ns
after_local_cswitch,0,18,5,0,8142,3329660 ns
after_local_cswitch,0,19,4,0,-148947,3329660 ns
after_local_cswitch,0,20,3,0,81571,3329660 ns
after_local_cswitch,0,21,2,0,-111260,3329660 ns
after_local_cswitch,0,22,1,0,25270,3329660 ns
after_local_cswitch,0,23,0,0,63598,3329660 ns
after_local_cswitch,0,0,7,0,-57626,3329660 ns
after_local_cswitch,0,1,6,0,-64622,3329660 ns
after_local_cswitch,0,2,5,0,-100242,3329660 ns
after_local_cswitch,0,3,4,0,1890,3329660 ns
after_local_cswitch,0,4,3,0,-51811,3329660 ns
after_local_cswitch,0,5,2,0,-22996,3329660 ns
after_local_cswitch,0,6,1,0,27086,3329660 ns
after_local_cswitch,0,7,0,0,65394,3329660 ns
after_local_cswitch,0,16,7,0,-57626,3329660 ns
after_local_cswitch,0,17,6,0,65158,3329660 ns
after_local_cswitch,0,18,5,0,8142,3329660 ns
after_local_cswitch,0,19,4,0,-148947,3329660 ns
after_local_cswitch,0,20,3,0,81571,3329660 ns
after_local_cswitch,0,21,2,0,-111260,3329660 ns
after_local_cswitch,0,22,1,0,25270,3329660 ns
after_local_cswitch,0,23,0,0,63598,3329660 ns
after_local_cswitch,0,0,7,0,-57626,3329660 ns
after_local_cswitch,0,1,6,0,-64622,3329660 ns
after_local_cswitch,0,2,5,0,-100242,3329660 ns
after_local_cswitch,0,3,4,0,1890,3329660 ns
after_local_cswitch,0,4,3,0,-51811,3329660 ns
after_local_cswitch,0,5,2,0,-22996,3329660 ns
after_local_cswitch,0,6,1,0,27086,3329660 ns
after_local_cswitch,0,7,0,0,65394,3329660 ns
after_local_cswitch,0,16,7,0,-57626,3329660 ns
after_local_cswitch,0,17,6,0,65158,3329660 ns
after_local_cswitch,0,18,5,0,8142,3329660 ns
after_local_cswitch,0,19,4,0,-148947,3329660 ns
after_local_cswitch,0,20,3,0,81571,3329660 ns
after_local_cswitch,0,21,2,0,-111260,3329660 ns
after_local_cswitch,0,22,1,0,25270,3329660 ns
after_local_cswitch,0,23,0,0,63598,3329660 ns
after_local_cswitch,0,0,8,0,-8511,3329670 ns
after_local_cswitch,0,1,7,0,-136582,3329670 ns
after_local_cswitch,0,2,6,0,24499,3329670 ns
after_local_cswitch,0,3,5,0,28504,3329670 ns
after_local_cswitch,0,4,4,0,-74872,3329670 ns
after_local_cswitch,0,5,3,0,-42519,3329670 ns
after_local_cswitch,0,6,2,0,-13517,3329670 ns
after_local_cswitch,0,7,1,0,-46806,3329670 ns
after_local_cswitch,0,8,0,0,63598,3329670 ns
after_local_cswitch,0,16,8,0,-8511,3329670 ns
after_local_cswitch,0,17,7,0,-57626,3329670 ns
after_local_cswitch,0,18,6,0,65158,3329670 ns
after_local_cswitch,0,19,5,0,8142,3329670 ns
after_local_cswitch,0,20,4,0,-148947,3329670 ns
after_local_cswitch,0,21,3,0,81571,3329670 ns
after_local_cswitch,0,22,2,0,-111260,3329670 ns
after_local_cswitch,0,23,1,0,25270,3329670 ns
after_local_cswitch,0,24,0,0,63598,3329670 ns
after_local_cswitch,0,0,8,0,-8511,3329670 ns
after_local_cswitch,0,1,7,0,-136582,3329670 ns
after_local_cswitch,0,2,6,0,24499,3329670 ns
after_local_cswitch,0,3,5,0,28504,3329670 ns
after_local_cswitch,0,4,4,0,-74872,3329670 ns
after_local_cswitch,0,5,3,0,-42519,3329670 ns
after_local_cswitch,0,6,2,0,-13517,3329670 ns
after_local_cswitch,0,7,1,0,-46806,3329670 ns
after_local_cswitch,0,8,0,0,63598,3329670 ns
after_local_cswitch,0,16,8,0,-8511,3329670 ns
after_local_cswitch,0,17,7,0,-57626,3329670 ns
after_local_cswitch,0,18,6,0,65158,3329670 ns
after_local_cswitch,0,19,5,0,8142,3329670 ns
after_local_cswitch,0,20,4,0,-148947,3329670 ns
after_local_cswitch,0,21,3,0,81571,3329670 ns
after_local_cswitch,0,22,2,0,-111260,3329670 ns
after_local_cswitch,0,23,1,0,25270,3329670 ns
after_local_cswitch,0,24,0,0,63598,3329670 ns
after_local_cswitch,0,0,8,0,-8511,3329670 ns
after_local_cswitch,0,1,7,0,-136582,3329670 ns
after_local_cswitch,0,2,6,0,24499,3329670 ns
after_local_cswitch,0,3,5,0,28504,3329670 ns
after_local_cswitch,0,4,4,0,-74872,3329670 ns
after_local_cswitch,0,5,3,0,-42519,3329670 ns
after_local_cswitch,0,6,2,0,-13517,3329670 ns
after_local_cswitch,0,7,1,0,-46806,3329670 ns
after_local_cswitch,0,8,0,0,63598,3329670 ns
after_local_cswitch,0,16,8,0,-8511,3329670 ns
after_local_cswitch,0,17,7,0,-57626,3329670 ns
after_local_cswitch,0,18,6,0,65158,3329670 ns
after_local_cswitch,0,19,5,0,8142,3329670 ns
after_local_cswitch,0,20,4,0,-148947,3329670 ns
