tag,context,y,x,mac_q,mac_sc_q,time
after_local_cswitch,0,1,4,0,-9527,3195240 ns
after_local_cswitch,0,2,3,0,-10423,3195240 ns
after_local_cswitch,0,3,2,0,7116,3195240 ns
after_local_cswitch,0,4,1,0,-8855,3195240 ns
after_local_cswitch,0,5,0,0,-93914,3195240 ns
after_local_cswitch,0,16,5,0,19778,3195240 ns
after_local_cswitch,0,17,4,0,6099,3195240 ns
after_local_cswitch,0,18,3,0,-41635,3195240 ns
after_local_cswitch,0,19,2,0,12514,3195240 ns
after_local_cswitch,0,20,1,0,-5069,3195240 ns
after_local_cswitch,0,21,0,0,-44706,3195240 ns
after_local_cswitch,0,0,6,0,-34909,3195250 ns
after_local_cswitch,0,1,5,0,-23040,3195250 ns
after_local_cswitch,0,2,4,0,-86721,3195250 ns
after_local_cswitch,0,3,3,0,14643,3195250 ns
after_local_cswitch,0,4,2,0,-61564,3195250 ns
after_local_cswitch,0,5,1,0,90025,3195250 ns
after_local_cswitch,0,6,0,0,-23853,3195250 ns
after_local_cswitch,0,16,6,0,25577,3195250 ns
after_local_cswitch,0,17,5,0,-39289,3195250 ns
after_local_cswitch,0,18,4,0,-43018,3195250 ns
after_local_cswitch,0,19,3,0,-43122,3195250 ns
after_local_cswitch,0,20,2,0,-41787,3195250 ns
after_local_cswitch,0,21,1,0,-24170,3195250 ns
after_local_cswitch,0,22,0,0,20241,3195250 ns
after_local_cswitch,0,0,6,0,-34909,3195250 ns
after_local_cswitch,0,1,5,0,-23040,3195250 ns
after_local_cswitch,0,2,4,0,-86721,3195250 ns
after_local_cswitch,0,3,3,0,14643,3195250 ns
after_local_cswitch,0,4,2,0,-61564,3195250 ns
after_local_cswitch,0,5,1,0,90025,3195250 ns
after_local_cswitch,0,6,0,0,-23853,3195250 ns
after_local_cswitch,0,16,6,0,25577,3195250 ns
after_local_cswitch,0,17,5,0,-39289,3195250 ns
after_local_cswitch,0,18,4,0,-43018,3195250 ns
after_local_cswitch,0,19,3,0,-43122,3195250 ns
after_local_cswitch,0,20,2,0,-41787,3195250 ns
after_local_cswitch,0,21,1,0,-24170,3195250 ns
after_local_cswitch,0,22,0,0,20241,3195250 ns
after_local_cswitch,0,0,6,0,-34909,3195250 ns
after_local_cswitch,0,1,5,0,-23040,3195250 ns
after_local_cswitch,0,2,4,0,-86721,3195250 ns
after_local_cswitch,0,3,3,0,14643,3195250 ns
after_local_cswitch,0,4,2,0,-61564,3195250 ns
after_local_cswitch,0,5,1,0,90025,3195250 ns
after_local_cswitch,0,6,0,0,-23853,3195250 ns
after_local_cswitch,0,16,6,0,25577,3195250 ns
after_local_cswitch,0,17,5,0,-39289,3195250 ns
after_local_cswitch,0,18,4,0,-43018,3195250 ns
after_local_cswitch,0,19,3,0,-43122,3195250 ns
after_local_cswitch,0,20,2,0,-41787,3195250 ns
after_local_cswitch,0,21,1,0,-24170,3195250 ns
after_local_cswitch,0,22,0,0,20241,3195250 ns
after_local_cswitch,0,0,7,0,3785,3195260 ns
after_local_cswitch,0,1,6,0,23278,3195260 ns
after_local_cswitch,0,2,5,0,39214,3195260 ns
after_local_cswitch,0,3,4,0,-64719,3195260 ns
after_local_cswitch,0,4,3,0,-39553,3195260 ns
after_local_cswitch,0,5,2,0,26773,3195260 ns
