tag,context,y,x,mac_q,mac_sc_q
before_raw_cswitch_A,0,4,7,-104359,0
before_raw_cswitch_A,0,4,8,-2856,0
before_raw_cswitch_A,0,4,9,23206,0
before_raw_cswitch_A,0,4,10,3424,0
before_raw_cswitch_A,0,4,11,9116,0
before_raw_cswitch_A,0,4,12,-60880,0
before_raw_cswitch_A,0,4,13,4344,0
before_raw_cswitch_A,0,4,14,-3458,0
before_raw_cswitch_A,0,4,15,-3313,0
before_raw_cswitch_A,0,4,16,48435,0
before_raw_cswitch_A,0,4,17,32681,0
before_raw_cswitch_A,0,4,18,-25113,0
before_raw_cswitch_A,0,4,19,-57432,0
before_raw_cswitch_A,0,4,20,10466,0
before_raw_cswitch_A,0,4,21,-5740,0
before_raw_cswitch_A,0,4,22,14261,0
before_raw_cswitch_A,0,4,23,-55008,0
before_raw_cswitch_A,0,4,24,-15263,0
before_raw_cswitch_A,0,4,25,40740,0
before_raw_cswitch_A,0,4,26,-35870,0
before_raw_cswitch_A,0,4,27,11736,0
before_raw_cswitch_A,0,4,28,-24612,0
before_raw_cswitch_A,0,4,29,13555,0
before_raw_cswitch_A,0,4,30,-32810,0
before_raw_cswitch_A,0,4,31,35150,0
before_raw_cswitch_A,0,5,0,-93914,0
before_raw_cswitch_A,0,5,1,90025,0
before_raw_cswitch_A,0,5,2,26773,0
before_raw_cswitch_A,0,5,3,-59535,0
before_raw_cswitch_A,0,5,4,5526,0
before_raw_cswitch_A,0,5,5,48008,0
before_raw_cswitch_A,0,5,6,25350,0
before_raw_cswitch_A,0,5,7,-8133,0
before_raw_cswitch_A,0,5,8,-26699,0
before_raw_cswitch_A,0,5,9,5668,0
before_raw_cswitch_A,0,5,10,19615,0
before_raw_cswitch_A,0,5,11,56445,0
before_raw_cswitch_A,0,5,12,-26924,0
before_raw_cswitch_A,0,5,13,-26604,0
before_raw_cswitch_A,0,5,14,10654,0
before_raw_cswitch_A,0,5,15,-63512,0
before_raw_cswitch_A,0,5,16,-36267,0
before_raw_cswitch_A,0,5,17,-84783,0
before_raw_cswitch_A,0,5,18,-5978,0
before_raw_cswitch_A,0,5,19,13547,0
before_raw_cswitch_A,0,5,20,8617,0
before_raw_cswitch_A,0,5,21,45067,0
before_raw_cswitch_A,0,5,22,-15377,0
