tag,context,y,x,mac_q,mac_sc_q,time
after_local_cswitch,0,36,1,0,22873,6105430 ns
after_local_cswitch,0,37,0,0,99820,6105430 ns
after_local_cswitch,0,0,5,0,23634,6105430 ns
after_local_cswitch,0,1,4,0,-98112,6105430 ns
after_local_cswitch,0,2,3,0,67333,6105430 ns
after_local_cswitch,0,3,2,0,-45464,6105430 ns
after_local_cswitch,0,4,1,0,-74846,6105430 ns
after_local_cswitch,0,5,0,0,51920,6105430 ns
after_local_cswitch,0,32,5,0,-17582,6105430 ns
after_local_cswitch,0,33,4,0,-154077,6105430 ns
after_local_cswitch,0,34,3,0,-49409,6105430 ns
after_local_cswitch,0,35,2,0,59906,6105430 ns
after_local_cswitch,0,36,1,0,22873,6105430 ns
after_local_cswitch,0,37,0,0,99820,6105430 ns
after_local_cswitch,0,0,5,0,23634,6105430 ns
after_local_cswitch,0,1,4,0,-98112,6105430 ns
after_local_cswitch,0,2,3,0,67333,6105430 ns
after_local_cswitch,0,3,2,0,-45464,6105430 ns
after_local_cswitch,0,4,1,0,-74846,6105430 ns
after_local_cswitch,0,5,0,0,51920,6105430 ns
after_local_cswitch,0,32,5,0,-17582,6105430 ns
after_local_cswitch,0,33,4,0,-154077,6105430 ns
after_local_cswitch,0,34,3,0,-49409,6105430 ns
after_local_cswitch,0,35,2,0,59906,6105430 ns
after_local_cswitch,0,36,1,0,22873,6105430 ns
after_local_cswitch,0,37,0,0,99820,6105430 ns
after_local_cswitch,0,0,6,0,-54737,6105440 ns
after_local_cswitch,0,1,5,0,-60618,6105440 ns
after_local_cswitch,0,2,4,0,-103339,6105440 ns
after_local_cswitch,0,3,3,0,-23135,6105440 ns
after_local_cswitch,0,4,2,0,37058,6105440 ns
after_local_cswitch,0,5,1,0,-4337,6105440 ns
after_local_cswitch,0,6,0,0,28094,6105440 ns
after_local_cswitch,0,32,6,0,-4727,6105440 ns
after_local_cswitch,0,33,5,0,-39540,6105440 ns
after_local_cswitch,0,34,4,0,61517,6105440 ns
after_local_cswitch,0,35,3,0,27890,6105440 ns
after_local_cswitch,0,36,2,0,-16642,6105440 ns
after_local_cswitch,0,37,1,0,56728,6105440 ns
after_local_cswitch,0,38,0,0,-21761,6105440 ns
after_local_cswitch,0,0,6,0,-54737,6105440 ns
after_local_cswitch,0,1,5,0,-60618,6105440 ns
after_local_cswitch,0,2,4,0,-103339,6105440 ns
after_local_cswitch,0,3,3,0,-23135,6105440 ns
after_local_cswitch,0,4,2,0,37058,6105440 ns
after_local_cswitch,0,5,1,0,-4337,6105440 ns
after_local_cswitch,0,6,0,0,28094,6105440 ns
after_local_cswitch,0,32,6,0,-4727,6105440 ns
after_local_cswitch,0,33,5,0,-39540,6105440 ns
after_local_cswitch,0,34,4,0,61517,6105440 ns
after_local_cswitch,0,35,3,0,27890,6105440 ns
after_local_cswitch,0,36,2,0,-16642,6105440 ns
after_local_cswitch,0,37,1,0,56728,6105440 ns
after_local_cswitch,0,38,0,0,-21761,6105440 ns
after_local_cswitch,0,0,6,0,-54737,6105440 ns
after_local_cswitch,0,1,5,0,-60618,6105440 ns
after_local_cswitch,0,2,4,0,-103339,6105440 ns
after_local_cswitch,0,3,3,0,-23135,6105440 ns
after_local_cswitch,0,4,2,0,37058,6105440 ns
after_local_cswitch,0,5,1,0,-4337,6105440 ns
after_local_cswitch,0,6,0,0,28094,6105440 ns
after_local_cswitch,0,32,6,0,-4727,6105440 ns
after_local_cswitch,0,33,5,0,-39540,6105440 ns
after_local_cswitch,0,34,4,0,61517,6105440 ns
after_local_cswitch,0,35,3,0,27890,6105440 ns
after_local_cswitch,0,36,2,0,-16642,6105440 ns
after_local_cswitch,0,37,1,0,56728,6105440 ns
after_local_cswitch,0,38,0,0,-21761,6105440 ns
after_local_cswitch,0,0,7,0,-27094,6105450 ns
after_local_cswitch,0,1,6,0,77785,6105450 ns
after_local_cswitch,0,2,5,0,41987,6105450 ns
after_local_cswitch,0,3,4,0,-107666,6105450 ns
after_local_cswitch,0,4,3,0,-61092,6105450 ns
after_local_cswitch,0,5,2,0,39111,6105450 ns
after_local_cswitch,0,6,1,0,6429,6105450 ns
after_local_cswitch,0,7,0,0,68247,6105450 ns
after_local_cswitch,0,32,7,0,12012,6105450 ns
after_local_cswitch,0,33,6,0,52116,6105450 ns
after_local_cswitch,0,34,5,0,-37733,6105450 ns
