mesh_row,mesh_col,pixel_x,pixel_y,gain_y0x0,gain_y0x1,gain_y1x0,gain_y1x1
6,1,167.937500,759.500000,2428,2833,2891,2096
6,2,335.875000,759.500000,2105,2344,2382,1872
6,3,503.812500,759.500000,1795,1923,1947,1644
6,4,671.750000,759.500000,1503,1555,1568,1414
6,5,839.687500,759.500000,1277,1291,1297,1231
6,6,1007.625000,759.500000,1135,1144,1147,1119
6,7,1175.562500,759.500000,1063,1066,1067,1058
6,8,1343.500000,759.500000,1046,1053,1053,1046
6,9,1511.437500,759.500000,1091,1099,1100,1081
6,10,1679.375000,759.500000,1203,1210,1213,1167
6,11,1847.312500,759.500000,1405,1436,1441,1330
6,12,2015.250000,759.500000,1678,1770,1782,1553
6,13,2183.187500,759.500000,1991,2189,2210,1789
6,14,2351.125000,759.500000,2296,2635,2670,2013
6,15,2519.062500,759.500000,2610,3131,3182,2227
6,16,2687.000000,759.500000,2885,3631,3694,2416
7,0,0.000000,886.083333,2775,3408,3482,2324
7,1,167.937500,886.083333,2508,2948,3005,2134
7,2,335.875000,886.083333,2198,2470,2508,1920
7,3,503.812500,886.083333,1901,2056,2082,1707
7,4,671.750000,886.083333,1610,1681,1693,1486
7,5,839.687500,886.083333,1374,1404,1411,1307
7,6,1007.625000,886.083333,1221,1238,1241,1187
7,7,1175.562500,886.083333,1135,1146,1146,1120
7,8,1343.500000,886.083333,1119,1130,1131,1106
7,9,1511.437500,886.083333,1162,1172,1172,1136
7,10,1679.375000,886.083333,1280,1295,1298,1226
7,11,1847.312500,886.083333,1484,1527,1532,1390
7,12,2015.250000,886.083333,1755,1869,1881,1602
7,13,2183.187500,886.083333,2053,2271,2295,1828
7,14,2351.125000,886.083333,2346,2706,2742,2043
7,15,2519.062500,886.083333,2649,3194,3243,2247
7,16,2687.000000,886.083333,2916,3693,3749,2435
8,0,0.000000,1012.666667,2868,3570,3638,2370
8,1,167.937500,1012.666667,2622,3131,3185,2197
8,2,335.875000,1012.666667,2327,2656,2694,1992
8,3,503.812500,1012.666667,2054,2257,2281,1805
8,4,671.750000,1012.666667,1773,1881,1893,1599
8,5,839.687500,1012.666667,1527,1585,1591,1423
8,6,1007.625000,1012.666667,1362,1397,1398,1299
8,7,1175.562500,1012.666667,1262,1285,1286,1226
8,8,1343.500000,1012.666667,1243,1266,1264,1207
8,9,1511.437500,1012.666667,1296,1320,1320,1245
8,10,1679.375000,1012.666667,1429,1463,1464,1342
8,11,1847.312500,1012.666667,1637,1716,1720,1504
8,12,2015.250000,1012.666667,1897,2052,2063,1699
8,13,2183.187500,1012.666667,2169,2432,2454,1901
8,14,2351.125000,1012.666667,2441,2845,2882,2095
8,15,2519.062500,1012.666667,2722,3320,3371,2292
8,16,2687.000000,1012.666667,2976,3801,3857,2467
9,0,0.000000,1139.250000,2968,3760,3827,2427
9,1,167.937500,1139.250000,2745,3340,3393,2270
9,2,335.875000,1139.250000,2468,2871,2907,2071
9,3,503.812500,1139.250000,2215,2480,2502,1903
9,4,671.750000,1139.250000,1961,2125,2136,1727
9,5,839.687500,1139.250000,1725,1824,1830,1568
9,6,1007.625000,1139.250000,1544,1603,1605,1439
9,7,1175.562500,1139.250000,1438,1485,1484,1367
9,8,1343.500000,1139.250000,1419,1465,1464,1347
9,9,1511.437500,1139.250000,1485,1533,1531,1386
9,10,1679.375000,1139.250000,1627,1698,1700,1486
9,11,1847.312500,1139.250000,1835,1959,1963,1638
9,12,2015.250000,1139.250000,2075,2289,2302,1813
9,13,2183.187500,1139.250000,2320,2653,2674,1993
9,14,2351.125000,1139.250000,2562,3035,3070,2161
9,15,2519.062500,1139.250000,2822,3499,3547,2348
9,16,2687.000000,1139.250000,3043,3939,3989,2509
10,0,0.000000,1265.833333,3077,3979,4043,2496
10,1,167.937500,1265.833333,2872,3571,3618,2347
10,2,335.875000,1265.833333,2614,3105,3137,2164
10,3,503.812500,1265.833333,2373,2711,2731,2001
10,4,671.750000,1265.833333,2149,2379,2387,1852
10,5,839.687500,1265.833333,1928,2082,2085,1712
10,6,1007.625000,1265.833333,1750,1857,1855,1594
10,7,1175.562500,1265.833333,1645,1734,1730,1524
10,8,1343.500000,1265.833333,1625,1709,1706,1508
10,9,1511.437500,1265.833333,1693,1787,1783,1549
10,10,1679.375000,1265.833333,1839,1971,1969,1643
10,11,1847.312500,1265.833333,2039,2231,2232,1772
10,12,2015.250000,1265.833333,2259,2551,2562,1926
10,13,2183.187500,1265.833333,2479,2893,2911,2081
10,14,2351.125000,1265.833333,2701,3273,3303,2243
10,15,2519.062500,1265.833333,2946,3730,3771,2422
10,16,2687.000000,1265.833333,3143,4135,4182,2569
11,0,0.000000,1392.416667,3189,4215,4264,2570
11,1,167.937500,1392.416667,2998,3819,3862,2430
11,2,335.875000,1392.416667,2754,3348,3376,2249
11,3,503.812500,1392.416667,2524,2953,2970,2096
11,4,671.750000,1392.416667,2307,2613,2617,1958
11,5,839.687500,1392.416667,2107,2327,2326,1835
11,6,1007.625000,1392.416667,1941,2108,2102,1735
11,7,1175.562500,1392.416667,1842,1988,1979,1675
11,8,1343.500000,1392.416667,1833,1968,1960,1662
11,9,1511.437500,1392.416667,1904,2061,2055,1702
11,10,1679.375000,1392.416667,2048,2251,2246,1786
11,11,1847.312500,1392.416667,2229,2505,2502,1899
11,12,2015.250000,1392.416667,2432,2815,2817,2033
11,13,2183.187500,1392.416667,2630,3144,3158,2172
11,14,2351.125000,1392.416667,2843,3537,3564,2331
11,15,2519.062500,1392.416667,3076,3989,4029,2505
11,16,2687.000000,1392.416667,3258,4387,4425,2644
12,0,0.000000,1519.000000,3262,4389,4429,2626
12,1,167.937500,1519.000000,3083,4006,4042,2492
12,2,335.875000,1519.000000,2851,3540,3567,2317
12,3,503.812500,1519.000000,2624,3130,3145,2162
12,4,671.750000,1519.000000,2404,2777,2778,2026
12,5,839.687500,1519.000000,2212,2489,2487,1909
12,6,1007.625000,1519.000000,2056,2280,2272,1820
12,7,1175.562500,1519.000000,1965,2161,2150,1765
12,8,1343.500000,1519.000000,1958,2146,2136,1757
12,9,1511.437500,1519.000000,2036,2242,2233,1794
12,10,1679.375000,1519.000000,2174,2439,2433,1875
12,11,1847.312500,1519.000000,2351,2696,2693,1976
12,12,2015.250000,1519.000000,2542,3004,3005,2104
12,13,2183.187500,1519.000000,2731,3339,3354,2239
12,14,2351.125000,1519.000000,2944,3742,3771,2399
12,15,2519.062500,1519.000000,3162,4187,4222,2564
12,16,2687.000000,1519.000000,3338,4580,4622,2700
